instances/sat/data/QUEENS-CSSC14/INSTANCE_NAME, nvarsOrig, nclausesOrig, nvars, nclauses, reducedVars, reducedClauses, Pre-featuretime, vars-clauses-ratio, POSNEG-RATIO-CLAUSE-mean, POSNEG-RATIO-CLAUSE-coeff-variation, POSNEG-RATIO-CLAUSE-min, POSNEG-RATIO-CLAUSE-max, POSNEG-RATIO-CLAUSE-entropy, VCG-CLAUSE-mean, VCG-CLAUSE-coeff-variation, VCG-CLAUSE-min, VCG-CLAUSE-max, VCG-CLAUSE-entropy, UNARY, BINARY+, TRINARY+, Basic-featuretime, VCG-VAR-mean, VCG-VAR-coeff-variation, VCG-VAR-min, VCG-VAR-max, VCG-VAR-entropy, POSNEG-RATIO-VAR-mean, POSNEG-RATIO-VAR-coeff-variation, POSNEG-RATIO-VAR-min, POSNEG-RATIO-VAR-max, POSNEG-RATIO-VAR-entropy, HORNY-VAR-mean, HORNY-VAR-coeff-variation, HORNY-VAR-min, HORNY-VAR-max, HORNY-VAR-entropy, horn-clauses-fraction, VG-mean, VG-coeff-variation, VG-min, VG-max, KLB-featuretime, CG-mean, CG-coeff-variation, CG-min, CG-max, CG-entropy, cluster-coeff-mean, cluster-coeff-coeff-variation, cluster-coeff-min, cluster-coeff-max, cluster-coeff-entropy, CG-featuretime, cl-num-mean, cl-num-coeff-variation, cl-num-min, cl-num-max, cl-num-q90, cl-num-q10, cl-num-q75, cl-num-q25, cl-num-q50, cl-size-mean, cl-size-coeff-variation, cl-size-min, cl-size-max, cl-size-q90, cl-size-q10, cl-size-q75, cl-size-q25, cl-size-q50, cl-featuretime, SP-bias-mean, SP-bias-coeff-variation, SP-bias-min, SP-bias-max, SP-bias-q90, SP-bias-q10, SP-bias-q75, SP-bias-q25, SP-bias-q50, SP-unconstraint-mean, SP-unconstraint-coeff-variation, SP-unconstraint-min, SP-unconstraint-max, SP-unconstraint-q90, SP-unconstraint-q10, SP-unconstraint-q75, SP-unconstraint-q25, SP-unconstraint-q50, sp-featuretime, saps_BestSolution_Mean, saps_BestSolution_CoeffVariance, saps_FirstLocalMinStep_Mean, saps_FirstLocalMinStep_CoeffVariance, saps_FirstLocalMinStep_Median, saps_FirstLocalMinStep_Q.10, saps_FirstLocalMinStep_Q.90, saps_BestAvgImprovement_Mean, saps_BestAvgImprovement_CoeffVariance, saps_FirstLocalMinRatio_Mean, saps_FirstLocalMinRatio_CoeffVariance, ls-saps-featuretime, gsat_BestSolution_Mean, gsat_BestSolution_CoeffVariance, gsat_FirstLocalMinStep_Mean, gsat_FirstLocalMinStep_CoeffVariance, gsat_FirstLocalMinStep_Median, gsat_FirstLocalMinStep_Q.10, gsat_FirstLocalMinStep_Q.90, gsat_BestAvgImprovement_Mean, gsat_BestAvgImprovement_CoeffVariance, gsat_FirstLocalMinRatio_Mean, gsat_FirstLocalMinRatio_CoeffVariance, ls-gsat-featuretime, lobjois-mean-depth-over-vars, lobjois-log-num-nodes-over-vars, lobjois-featuretime
instances/sat/data/QUEENS-CSSC14/instances/Sat_Data/nqueen/nqueen_33_1_1_0_0_commander.cnf, 39036, 117044, 39035, 117043, 0.000025618, 0.000008544, 0.08, 0.333509907, 0.369627687, 0.453804569, 0, 1, 0.33073289, 0.00007567, 0.259037169, 0.000051236, 0.000845395, 0.310668835, 0, 0.071606162, 0.990977675, 0, -512, -512, -512, -512, -512, -512, -512, -512, -512, -512, -512, -512, -512, -512, -512, -512, -512, -512, -512, -512, 0, -512, -512, -512, -512, -512, -512, -512, -512, -512, -512, 0, 1238.857142857, 0.327409517, 327, 1618, 1618, 327, 1534, 1072, 1401, 65.165726363, 0.885990011, 28.693776521, 205.359111792, 205.359111792, 28.693776521, 49.990825688, 32.432835821, 45.454675232, 1.98, 0.31897608, 0.277297039, 0.00018136, 1, 0.356736767, 0.168694031, 0.356735884, 0.352129768, 0.356724975, 0.201959205, 0.263939352, 0, 0.318474393, 0.217008686, 0.1730661, 0.214610878, 0.214587383, 0.214605489, 0.88, 412, 0.624725, 6804.5, 0.00114309, 6804.5, 6799, 6799, 0.19182, 0.274222, 0.742628, 0.0183179, 2.12, 1328.6, 0.114728, 6797.2, 0.00910977, 6829, 6727, 6846, 0.163067, 0.275448, 0.788662, 0.00831207, 2.2, 0.079650778, 0.213587765, 2
instances/sat/data/QUEENS-CSSC14/instances/Sat_Data/nqueen/nqueen_42_0_1_1_1_bdd.cnf, 84331, 245905, 84330, 245904, 0.000011858, 0.000004067, 0.14, 0.342938708, 0.336453792, 0.447099962, 0, 1, 0.382675113, 0.000034657, 0.280466644, 0.000023716, 0.000498043, 0.326119817, 0, 0.096375008, 0.999202941, 0.02, -512, -512, -512, -512, -512, -512, -512, -512, -512, -512, -512, -512, -512, -512, -512, -512, -512, -512, -512, -512, 0, -512, -512, -512, -512, -512, -512, -512, -512, -512, -512, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.28, 0.310899219, 0.341518383, 0.000000125, 1, 0.357013968, 0.11717966, 0.357007058, 0.352698259, 0.356940823, 0.198163194, 0.260170204, 0, 0.319059121, 0.215210457, 0.092594419, 0.214562522, 0.214539638, 0.214547876, 1.82, 9934, 0, 0, 0, 0, 0, 0, 1.70706, 0, 1.42227, 0, 2.14, 3801, 0, 14791, 0, 14791, 14791, 14791, 0.320796, 0, 0.81983, 0, 2.16, 0.044327355, 0.20218971, 2
instances/sat/data/QUEENS-CSSC14/instances/Sat_Data/nqueen/nqueen_13_0_1_0_0_pairwise.cnf, 2506, 8885, 2505, 8884, 0.000399202, 0.000112562, 0, 0.281967582, 0.491595377, 0.600741282, 0, 1, 0.65282132, 0.001097175, 0.215022457, 0.000798403, 0.005189621, 0.590011555, 0, 0.266208915, 0.998536695, 0, -512, -512, -512, -512, -512, -512, -512, -512, -512, -512, -512, -512, -512, -512, -512, -512, -512, -512, -512, -512, 0, -512, -512, -512, -512, -512, -512, -512, -512, -512, -512, 0, 4205, 0.099536919, 3580, 4790, 4790, 3580, 4494, 3961, 4200, 62.450406453, 0.103520817, 54.634761905, 70.997206704, 70.997206704, 54.634761905, 67.931909212, 55.77348643, 62.914668013, 1.98, 0.366220562, 0.371829925, 0.000231378, 1, 0.392188272, 0.17265578, 0.39110258, 0.375323391, 0.390692017, 0.193018724, 0.305408245, 0, 0.318324169, 0.220479051, 0.155517587, 0.208032387, 0.205278164, 0.207651412, 0.06, 42.9451, 0.470848, 455.918, 0.0617196, 456, 440, 476, 0.480967, 0.34472, 0.839351, 0.0356484, 2.38, 38.2661, 0.177831, 456.656, 0.0331429, 456, 437, 475, 0.121157, 0.279257, 0.835248, 0.0155066, 2.88, 0.256949246, 0.975239011, 2
instances/sat/data/QUEENS-CSSC14/instances/Sat_Data/nqueen/nqueen_11_1_0_0_1_pairwise.cnf, 1548, 6153, 1547, 6152, 0.000646412, 0.000162549, 0, 0.251462939, 0.554182922, 0.586108233, 0, 1, 0.735700999, 0.001715115, 0.224635808, 0.001292825, 0.007110537, 0.666300228, 0, 0.361020806, 0.998211964, 0, -512, -512, -512, -512, -512, -512, -512, -512, -512, -512, -512, -512, -512, -512, -512, -512, -512, -512, -512, -512, 0, -512, -512, -512, -512, -512, -512, -512, -512, -512, -512, 0, 4801.666666667, 0.015662866, 4696, 4865, 4865, 4696, 4865, 4696, 4844, 40.201945482, 0.040281943, 37.958262351, 41.721479959, 41.721479959, 37.958262351, 41.721479959, 37.958262351, 40.926094137, 1.98, 0.389397257, 0.41097563, 0.004020322, 1, 0.419996633, 0.204854085, 0.413157911, 0.388209073, 0.409245793, 0.188400346, 0.328143903, 0, 0.317935667, 0.215006661, 0.170196059, 0.204501807, 0.200271837, 0.203796433, 0.04, 38.5986, 1.11115, 288.984, 0.0567746, 289, 274, 305, 0.702321, 0.216664, 0.874617, 0.0418642, 2.38, 30.1332, 0.180827, 288.756, 0.0408688, 288, 273, 304, 0.190886, 0.299592, 0.868728, 0.017509, 2.86, 0.164926098, 0.894130195, 2
instances/sat/data/QUEENS-CSSC14/instances/Sat_Data/nqueen/nqueen_30_0_1_1_1_commander.cnf, 30333, 94271, 30332, 94270, 0.000032968, 0.000010608, 0.06, 0.321756656, 0.400926417, 0.54976816, 0, 1, 0.495553801, 0.000096158, 0.275333589, 0.000065937, 0.000989054, 0.473786014, 0, 0.124334359, 0.981627241, 0, -512, -512, -512, -512, -512, -512, -512, -512, -512, -512, -512, -512, -512, -512, -512, -512, -512, -512, -512, -512, 0, -512, -512, -512, -512, -512, -512, -512, -512, -512, -512, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.1, 0.314472144, 0.298797127, 0.001124996, 1, 0.357279951, 0.146746474, 0.357277556, 0.343297121, 0.357223775, 0.196307792, 0.311201634, 0, 0.315944174, 0.216649117, 0.094536852, 0.214498997, 0.214376531, 0.214490335, 0.7, 675, 0.134178, 5397, 0.00382879, 5394, 5378, 5394, 0.298973, 0.230345, 0.772763, 0.0098987, 2.1, 1318.29, 0.828585, 4669.71, 0.441098, 5435, 0, 5497, 0.370763, 1.76312, 0.877386, 0.262576, 2.22, 0.056960701, 0.497672221, 2
instances/sat/data/QUEENS-CSSC14/instances/Sat_Data/nqueen/nqueen_32_0_1_1_1_2product.cnf, 36365, 112175, 36364, 112174, 0.0000275, 0.000008915, 0.06, 0.324174943, 0.337737206, 0.507010959, 0, 1, 0.460154663, 0.000079727, 0.276779297, 0.000054999, 0.000879991, 0.388793212, 0, 0.124084012, 0.998698451, 0.02, -512, -512, -512, -512, -512, -512, -512, -512, -512, -512, -512, -512, -512, -512, -512, -512, -512, -512, -512, -512, 0, -512, -512, -512, -512, -512, -512, -512, -512, -512, -512, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.12, 0.322707987, 0.261264734, 0.000613438, 1, 0.357949421, 0.174449852, 0.357376548, 0.345816239, 0.357363219, 0.197551411, 0.305326979, 0, 0.319056151, 0.216592037, 0.101996189, 0.214468867, 0.21422284, 0.214467136, 0.82, 1532.33, 0.899765, 6596.33, 0.00656678, 6606, 6549, 6606, 0.668288, 0.789909, 0.833974, 0.0979818, 2.1, 1918.33, 1.28839, 5508.5, 0.490036, 6622.5, 0, 6655, 0.52591, 1.75533, 0.957747, 0.421036, 2.22, 0.05822742, 0.542314459, 2
instances/sat/data/QUEENS-CSSC14/instances/Sat_Data/nqueen/nqueen_18_1_1_0_0_bdd.cnf, 7053, 19865, 7052, 19864, 0.000141804, 0.000050342, 0, 0.355014096, 0.339777151, 0.508871208, 0, 1, 0.460201003, 0.000411798, 0.248732501, 0.000283607, 0.002552467, 0.386242125, 0, 0.123187676, 0.998187676, 0.02, -512, -512, -512, -512, -512, -512, -512, -512, -512, -512, -512, -512, -512, -512, -512, -512, -512, -512, -512, -512, 0, -512, -512, -512, -512, -512, -512, -512, -512, -512, -512, 0, 3066.4, 0.204382543, 2174, 4005, 4005, 2174, 3486, 2802, 2865, 71.124975277, 0.159479865, 51.790506781, 86.444194757, 86.444194757, 51.790506781, 75.746987952, 68.245630175, 73.397556719, 1.98, 0.293442532, 0.381622082, 0.000001976, 1, 0.357984507, 0.061722113, 0.357814913, 0.242809737, 0.355589524, 0.191802372, 0.325795203, 0, 0.323435667, 0.221273825, 0.089533986, 0.214511991, 0.20569438, 0.214352662, 0.12, 87.8871, 0.455023, 1223.37, 0.0206739, 1225, 1195, 1246, 0.228587, 0.285446, 0.7479, 0.0195077, 2.26, 100.475, 0.173077, 1228.35, 0.0199307, 1228.5, 1202, 1265, 0.0443757, 0.233975, 0.752011, 0.0120173, 2.84, 0.097953179, 0.697230901, 2
instances/sat/data/QUEENS-CSSC14/instances/Sat_Data/nqueen/nqueen_16_0_0_0_1_nested.cnf, 4979, 15221, 4978, 15220, 0.000200884, 0.000065703, 0, 0.327069645, 0.398510731, 0.623839683, 0, 1, 0.62753258, 0.000562594, 0.142668378, 0.000401768, 0.000602652, 0.499581576, 0, 0.199408673, 1, 0, -512, -512, -512, -512, -512, -512, -512, -512, -512, -512, -512, -512, -512, -512, -512, -512, -512, -512, -512, -512, 0, -512, -512, -512, -512, -512, -512, -512, -512, -512, -512, 0, 3254.5, 0.187946941, 2263, 3828, 3828, 2263, 3828, 3243, 3684, 78.198711723, 0.13520324, 66.374036386, 94.298859935, 94.298859935, 66.374036386, 94.298859935, 71.647812638, 80.474137931, 1.98, 0.32880901, 0.329792444, 0.000449789, 1, 0.37042024, 0.112739892, 0.369457088, 0.341710019, 0.367818693, 0.187833661, 0.347095214, 0, 0.319684023, 0.226302134, 0.068281451, 0.212337547, 0.206781121, 0.211944593, 0.1, 42.8522, 0.717618, 912.93, 0.0220037, 913, 890, 941, 0.308955, 0.313611, 0.787656, 0.0197357, 2.32, 62.3684, 0.544455, 910.566, 0.0240957, 911, 882, 935, 0.0819715, 1.23851, 0.794935, 0.0197407, 2.82, 0.220711147, 0.923445237, 2
instances/sat/data/QUEENS-CSSC14/instances/Sat_Data/nqueen/nqueen_43_0_1_1_1_bdd.cnf, 90252, 263327, 90251, 263326, 0.00001108, 0.000003798, 0.16, 0.342734861, 0.336371393, 0.44256361, 0, 1, 0.376919458, 0.000032401, 0.280772276, 0.00002216, 0.000476449, 0.32140414, 0, 0.09442668, 0.999236688, 0.02, -512, -512, -512, -512, -512, -512, -512, -512, -512, -512, -512, -512, -512, -512, -512, -512, -512, -512, -512, -512, 0, -512, -512, -512, -512, -512, -512, -512, -512, -512, -512, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.28, 0.311634694, 0.338610134, 0.000000312, 1, 0.356992208, 0.1147451, 0.356984644, 0.352691221, 0.356923203, 0.198464317, 0.257767566, 0, 0.31905793, 0.215217428, 0.092445305, 0.214566101, 0.214545221, 0.214552564, 2.02, 11982, 0, 0, 0, 0, 0, 0, 1.78195, 0, 1.49852, 0, 2.14, 8499, 0.789723, 7809, 1.41421, 7809, 0, 0, 1.08463, 0.996607, 1.1948, 0.455318, 2.16, 0.049191335, 0.326386821, 2
instances/sat/data/QUEENS-CSSC14/instances/Sat_Data/nqueen/nqueen_39_1_0_1_1_2product.cnf, 64488, 198579, 64487, 198578, 0.000015507, 0.000005036, 0.12, 0.324743929, 0.336066097, 0.463378846, 0, 1, 0.404674713, 0.000045218, 0.279652911, 0.000031014, 0.000604773, 0.344239639, 0, 0.104125331, 0.999088519, 0.02, -512, -512, -512, -512, -512, -512, -512, -512, -512, -512, -512, -512, -512, -512, -512, -512, -512, -512, -512, -512, 0, -512, -512, -512, -512, -512, -512, -512, -512, -512, -512, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.2, 0.327405406, 0.235164305, 0.000039576, 1, 0.357270581, 0.179256469, 0.357090287, 0.354235928, 0.357088946, 0.200909268, 0.273058372, 0, 0.319887216, 0.215180591, 0.174223918, 0.214529516, 0.214420772, 0.214529219, 1.5, 3567, 0, 11680, 0, 11680, 11680, 11680, 0.814186, 0, 0.85452, 0, 2.08, 2309, 0.0594104, 11643.5, 0.0109921, 11643.5, 11553, 11553, 0.268209, 0.0838025, 0.810304, 0.00944951, 2.16, 0.04087631, 0.14454513, 2
